mesh resolution,Genoa,Milan,Genoa Standrd Error ,Milan Standard Error
16 x 16,135,176.3333333,7.637626158,4.176654695
32 x 32,143.3333333,175.3333333,4.333333333,8.412952976
64 x 64 ,145,168,2.309401077,2.081665999
128 x 128 ,163.6666667,203.6666667,5.456901848,3.48010217
256 x 256,263,335.6666667,9.865765725,4.702245327
512 x 512,752,928,0.5773502692,11.78982612
